hotelId,name,city,phone,address
454,Intercontinental Miami,MIAMI - FL,+305-5771000,100 Chopin Plaza 33131
1024,"The Ritz-Carlton, Half Moon Bay",SAN FRANCISCO - CA,+4155-0800,One Miramontes Point Road
